affirmation,tagID
I AM SUPERNATURALLY BEAUTIFUL.,2
I GLOW WITH SUPERNATURAL BEAUTY.,2
I RADIATE SUPERNATURAL BEAUTY FROM WITHIN.,2
I AM SUPERNATURALLY PERFECT IN EVERY WAY.,2
I AM SUPERNATURALLY FLAWLESS IN EVERY WAY.,2
MY PRESENCE IS SUPERNATURALLY POWERFUL.,2
I AM SUPERNATURALLY BEAUTIFUL INSIDE OUT.,2
MY BEAUTY RADIATES VIBRANTLY FROM WITHIN.,2
I AM GLOWING WITH INNER AND OUTER BEAUTY.,2
 ALL DESIRED AND BENEFICIAL CHANGES IN MYSELF ARE PERMANENT.,2
 I RAPIDLY MAKE THESE AFFIRMATIONS MY REALITY.,2
 I NOW ACCEPT THESE AFFIRMATIONS AS MY TRUTH.,2
 I LET GO OF ALL NEGATIVE THOUGHTS AND BELIEFS I HAVE ABOUT MYSELF.,2
 I HEAL MY MENTALITY AND INNER SELF MORE AND MORE EVERY DAY,2
 I AM MANIFESTING MY IDEAL FACE AND BODY NOW.,2
 I AM MANIFESTING MY DESIRED FACIAL AND BODY FEATURES NOW.,2
" I RADIATE POSITIVE, GOOD VIBES TO EVERYONE AROUND ME.",2
 I LOVE AND ACCEPT MYSELF NOW.,2
 I LOVE AND ACCEPT MYSELF UNCONDITIONALLY.,2
 I AM EXTREMELY CONFIDENT AND STRONG.,2
 I LOVE AND ACCEPT MYSELF EXACTLY AS I AM NOW.,2
 I AM HAPPY AND FREE.,2
 I EXPRESS MYSELF FREELY AND EASILY.,2
 I AM EXTREMELY GREAT TO BE AROUND.,2
 I AM EXTREMELY FUN TO BE AROUND.,2
 I AM ADMIRED AND LOVED BY EVERYONE.,2
 EVERYONE LOVES BEING AROUND ME.,2
 EVERYONE LOVES BEING WITH ME.,2
 I EASILY MAKE NEW FRIENDS AND TALK TO NEW PEOPLE.,2
 I INSTANTLY MAKE EVERYONE AROUND ME FEEL AMAZING.,2
 I INSTANTLY MAKE EVERYONE AROUND ME HAPPY.,2
 I AM FREE SPIRITED AND POSITIVE.,2
" EVERYONE CAN SENSE MY UNIQUE, AMAZING, VIBRANT ENERGY.",2
" I GLOW WITH HAPPINESS, LOVE AND GRATITUDE.",2
" I SPREAD LOVE, HAPPINESS AND GRATITUDE EVERYWHERE I GO.",2
 I AM AN AMAZING PERSON.,2
 I AM AN EXTREMELY BEAUTIFUL INDIVIDUAL.,2
 I AM AN EXTREMELY UNIQUE INDIVIDUAL.,2
 I AM SO GRATEFUL FOR EVERYTHING IN MY LIFE.,2
 I AM SO GRATEFUL FOR MYSELF AND THE EXPERIENCES I ATTRACT.,2
" MY LIFE IS FILLED WITH HAPPINESS, LOVE AND AMAZING EXPERIENCES.",2
" I HAVE AN AMAZING, BEAUTIFUL PERSONALITY.",2
" I HAVE A FUN, SPONTANEOUS PERSONALITY.",2
" I AM A LOVING, CARING, KIND INDIVIDUAL.",2
" I HAVE A UNIQUE, WONDERFUL PERSONALITY.",2
 I AM EXTREMELY FRIENDLY AND NICE TO EVERYONE.,2
 I AM UNFORGETTABLE.,2
 I AM RESPECTED AND ADMIRED BY EVERYONE.,2
