,Affirmation,Tag
0,I AM SUPERNATURALLY BEAUTIFUL.,CONFIDENT
1,I GLOW WITH SUPERNATURAL BEAUTY.,CONFIDENT
2,I RADIATE SUPERNATURAL BEAUTY FROM WITHIN.,CONFIDENT
3,I AM SUPERNATURALLY PERFECT IN EVERY WAY.,CONFIDENT
4,I AM SUPERNATURALLY FLAWLESS IN EVERY WAY.,CONFIDENT
5,MY PRESENCE IS SUPERNATURALLY POWERFUL.,CONFIDENT
6,I AM SUPERNATURALLY BEAUTIFUL INSIDE OUT.,CONFIDENT
7,MY BEAUTY RADIATES VIBRANTLY FROM WITHIN.,CONFIDENT
8,I AM GLOWING WITH INNER AND OUTER BEAUTY.,CONFIDENT
9, ALL DESIRED AND BENEFICIAL CHANGES IN MYSELF ARE PERMANENT.,CONFIDENT
10, I RAPIDLY MAKE THESE AFFIRMATIONS MY REALITY.,CONFIDENT
11, I NOW ACCEPT THESE AFFIRMATIONS AS MY TRUTH.,CONFIDENT
12, I LET GO OF ALL NEGATIVE THOUGHTS AND BELIEFS I HAVE ABOUT MYSELF.,CONFIDENT
13, I HEAL MY MENTALITY AND INNER SELF MORE AND MORE EVERY DAY,CONFIDENT
14, I AM MANIFESTING MY IDEAL FACE AND BODY NOW.,CONFIDENT
15, I AM MANIFESTING MY DESIRED FACIAL AND BODY FEATURES NOW.,CONFIDENT
16," I RADIATE POSITIVE, GOOD VIBES TO EVERYONE AROUND ME.",CONFIDENT
17, I LOVE AND ACCEPT MYSELF NOW.,CONFIDENT
18, I LOVE AND ACCEPT MYSELF UNCONDITIONALLY.,CONFIDENT
19, I AM EXTREMELY CONFIDENT AND STRONG.,CONFIDENT
20, I LOVE AND ACCEPT MYSELF EXACTLY AS I AM NOW.,CONFIDENT
21, I AM HAPPY AND FREE.,CONFIDENT
22, I EXPRESS MYSELF FREELY AND EASILY.,CONFIDENT
23, I AM EXTREMELY GREAT TO BE AROUND.,CONFIDENT
24, I AM EXTREMELY FUN TO BE AROUND.,CONFIDENT
25, I AM ADMIRED AND LOVED BY EVERYONE.,CONFIDENT
